Serial Number,Company Name,Employee Markme,Description,Leave
7000,GetThru,Ernest,99designs,0
7001,Legal Passage,Abbie,zorroa,0
7002,Micromax,Jeanette,techliminal,3
7003,Tech Liminal,Luke,99designs,2
7004,Infosys,James,yarden.garden,7
7005,Renew Financial,Hanary,designaction,8
7006,Flo AI,Katie,bigrunstudios,4
7007,Stealthy IM,Emmett,www.hoodincubator,1
7008,Glancepoint,Ira,mailchimp,1
7009,Relaso - CRM for Magento E-Commerce,Nelson,www.kaporcenter,5
7010,Hingeto,Wilson,getthru,3
7011,Axiom Cloud,Corine,better,3
7012,Ask Media Group,Jean,roofstock,1
7013,99designs,Vinnie,storytellerhq,4
7014,Joro,Dovie,comfyapp,0
7015,Shell,Jeanette,proxifile,3
7016,Infosys,PAUL,comfyapp,9
7017,Flipcause,Myrtis,snapstrat,5
7018,yozio,Nellie,relasosales-crm,4
7019,Microsoft,Edna,ideabuilder,3
7020,Kato,Thelma,snapstrat,7
7021,BKI Software Solutions,Sidney,parsleysoftware,2
7022,Accenture,Vinnie,kickstartcoding,6
7023,Beezwax,Simon,thecloroxcompany,9
7024,Mainz Brady Group,Alma,unionforce,4
7025,Sependa,PAUL,cintric,1
7026,Kickstart Coding,Abbie,fabricgenomics,5
7027,Trellis,Elsie,iogenesys,6
7028,Yarden,Lassie,aerialspac.es,9
7029,Zonetap,Ernest,poweredbypennies,4
7030,Broadly,Olanga,riffyn,7
7031,Propeller Labs,Myrtis,manifold,5
7032,iO Genesys Inc.,Laura,techliminal,6
7033,MetriTech,Julius,ceresimaging,4
7034,Mayvenn,Harvey,lvlanalytics,6
7035,Nana,Ossie,getthru,2
7036,The Hood Incubator,Linnie,www.neyborly,5
7037,Turnitin,Evelyn,servant,8
7038,Pine Park Health,Iona,targetx,8
7039,TargetX,Maud,squadcast.fm,5
7040,Omicia,Jean,tequitable,4
7041,Even,Jean,www.neyborly,6
7042,Binti,Rachel,comfyapp,6
7043,Merus,Simon,liferaft,3
7044,Angeloop Inc,Cleo,givemomentum,1
7045,Merus,Simon,stealthy,3
7046,Neyborly,Lenora,flypyka,1
7047,Mphasis,Barbara,mayvenn,0
7048,Flo AI,Alfred,helloresolve,9
7049,BKI Software Solutions,Clyde,capology,3
7050,Trace Data,Leslie,www.trellisgrows,1
7051,Yarden,Hollis,oystersoft,4
7052,yozio,Wilson,oystersoft,3
7053,PolySign,Warhol,sub4.me,1
7054,CandleCRM,Clyde,World IT,1
7055,Koya Medical,Gennie,swig,0
7056,MCT CO,Dessie,oystersoft,0
7057,TargetX,Gerald,manifold,3
7058,KindWhale,Robert,oncue,2
7059,Better Mortgage,Abbie,roofstock,3
7060,Joro,Rebecca,enwoven,6
7061,Fluid,Thelma,qwasar,6
7062,Big Run Studios,Tommy,mayvenn,4
7063,Schoolzilla,Gerald,qdev,9
7064,Hayden AI,Pinkie,vibryant,8
7065,Vertosa,Exie,fabricgenomics,6
7066,LINQ Software,Josie,everlaw,4
7067,AerialSpaces,Fannie,envisionmobile,4
7068,Rockbot,Annie,ratecred,0
7069,MMWD,Annie,breezy,3
7070,Omicia,Goldie,www.npmjs,3
7071,Huue,Sachin,FOUNDATION,8
7072,HCL,Tressie,swingtalent,7
7073,TradeLanes,Pinkie,lucidconnects,5
7074,Stockwell Inc.,Glennie,allganize,9
7075,MCT CO,Emmett,comcate,2
7076,Montclair Advisors LLC,Myrtis,renewfinancial,5
7077,SUB4ME INC,Era,cashbet,7
7078,Phillips 66,Pinkie,skilltapp,5
7079,Infosys,Wilson,flypyka,7
7080,Powerhouse,Josie,mynd,7
7081,Grasshopper Kiosks,Corine,cintric,9
7082,Oyster,Myrtie,tooledesign,0
7083,Qwasar Silicon valley,Gordon,www.beezwax,3
7084,Pine Park Health,Katie,everlaw,6
7085,Schoolzilla,Alma,polysign,9
7086,Kapor Center for Social Impact,Pinkie,oystersoft,4
7087,Viable Fit,Porter,moonshotbrands,6
7088,Manifold,Anne,flo-ai,7
7089,EFoundry Consulting,Dovie,abstractcre,9
7090,WeDrop Software,Maud,World IT,4
7091,MCT CO,Anne,kalabox.kalamuna,3
7092,Distru,Thelma,binti,4
7093,AerialSpaces,Myrtle,montclairadvisors,1
7094,Simple Dynamics,Luke,frontleaf,0
7095,MCT CO,Lillian,babylist,9
7096,Rx Redefined,Goldie,palocolorado,3
7097,Boxbot,Bettie,vsco,7
7098,Flexi Network,Hollis,envisionmobile,2
7099,Even,Dennis,specosystems,5
7100,WeDrop Software,Exie,everlaw,7
7101,Lucid,Dovie,rockbot,4
7102,Zorroa,Ira,oncue,9
7103,MetriTech,Dovie,capology,7
7104,Field Phone,Pearlie,even,5
7105,Accenture,Maud,legalpassage,2
7106,Fluid,Julius,better,6
7107,Gateway Incubator,Luke,squadcast.fm,3
7108,q{Dev} LLC,Anne,www.npmjs,0
7109,Wipro,Evelyn,manifold,0
7110,Capology,Clyde,riffyn,1
7111,NVIDIA,William,radicaldesigns,2
7112,Google,Jean,tracedata,5
7113,Rockbot,Vinnie,saferize,9
7114,Etracker,Luke,grasshopperkiosks,7
7115,Customer Lobby,Sarah,cintric,7
7116,Yarden,Myrtis,www.npmjs,8
7117,Fluid,Warhol,glancepoint,2
7118,CashBet,Dovie,hayden,3
7119,productboard,Vinnie,riffyn,6
7120,Simple But Needed Inc.,Corine,riffyn,4
7121,SPARKART GROUP INC,Rubie,buildsite,4
7122,Momentum,David,breezy,8
7123,Servant,Hettie,vidado,2
7124,Boxbot,Roshan,vidado,3
7125,swiss,Edward,rockbot,0
7126,KindWhale,Fannie,kalabox.kalamuna,6
7127,Proxifile,James,customerlobby,2
7128,Spinwheel,Aline,simpledynamics,9
7129,Mainz Brady Group,Ellen,coreloop,5
7130,cizna,Ossie,swingtalent,7
7131,CISCO,Laura,glassbreakers,8
7132,Glassbreakers,Rebecca,oystersoft,4
7133,SPARKART GROUP INC,Matrina,gravitational,4
7134,Saferize,Nellie,montclairadvisors,3
7135,AppSmyth Inc.,Dovie,sbnsoftware,4
7136,Axiom Cloud,Clarence,polysign,3
7137,ENVision mobile,Mabel,ratecred,7
7138,Simple But Needed Inc.,Louis,coreloop,7
7139,yozio,Myrtle,tracedata,9
7140,Chemistry,Leslie,babylist,6
7141,Mailchimp,Hollis,thecloroxcompany,9
7142,Nana,Anne,pineparkhealth,0
7143,Kalabox,Emmie,swig,3
7144,Cintric,Jeanette,etrackerllc,4
7145,Quosap,Bettie,saferize,6
7146,Gazprom,Myrtle,metritech,3
7147,LocusLabs Inc,Marion,IT Challange,6
7148,Yunit,Vinnie,radicaldesigns,4
7149,MMWD,Lillian,kickstartcoding,1
7150,Neyborly,Jeanette,givemomentum,4
7151,Divine Interventures,Elsie,simpledynamics,9
7152,Powerhouse,Lassie,bigrunstudios,9
7153,cizna,Porter,sbnsoftware,8
7154,Resolve,Liza,buildsite,3
7155,The Hood Incubator,KELLY,binti,7
7156,Teech Mahindra,Linnie,servant,3
7157,Infosys,Gennie,unagiscooters,2
7158,MetriTech,Olanga,swingtalent,8
7159,CrescendoApp.com,Green,customerlobby,0
7160,amazon,Jeanette,yunithome,7
7161,Qwasar Silicon valley,KELLY,ceresimaging,7
7162,ShopPad,Dessie,spinwheel,2
7163,Hayden AI,Edna,vertosa,2
7164,Abstract,Aline,deepmedia,7
7165,Allganize,Sarah,lunaimaging,4
7166,Mailchimp,Fannie,ceresimaging,3
7167,Better Mortgage,Gordon,outlier,4
7168,Yarden,Simon,even,4
7169,Financial Computer Support Inc.,Gordon,joro,9
7170,The Clorox Company,Margie,sub4.me,9
7171,Zonetap,Sachin,sparkart,9
7172,NOKIA,Cleo,guideapp,4
7173,iO Genesys Inc.,Leslie,axiomcloud,4
7174,SUB4ME INC,Annie,roofstock,9
7175,Bedrock Analytics,Adolphus,nana academy,5
7176,Zensar,Willie,99designs,5
7177,Simple Dynamics,James,enwoven,5
7178,Phillips 66,Rosie,frontleaf,3
7179,Microsoft,Dinesh David,designaction,5
7180,HCL,Katie,appsmyth,9
7181,BuildSite,Katie,World IT,7
7182,Simple Dynamics,Jimmy,helloresolve,8
7183,Outlier,Ossie,revitalizeventures,6
7184,Micromax,Marion,dailykos,3
7185,Comfy,Hettie,schoolzilla,6
7186,Allganize,Jim Andrson,grasshopperkiosks,0
7187,Fivetran,Warhol,viable.fit,4
7188,Fivetran,Gordon,skillprint,5
7189,Boxbot,KELLY,taote.shop,8
7190,Mastek,Sarah,storytellerhq,0
7191,Proxifile,Laura,Technology,5
7192,Joro,Lassie,flipcause,4
7193,Abstract,Elsie,gravitational,7
7194,Kaiser Permanente,Anne,pogofin,4
7195,Kaiser Permanente,Rosie,sparkart,0
7196,Propeller Labs,Nelson,sbnsoftware,9
7197,Next Tech,Iona,better,1
7198,Saferize,Lorraine,flo-ai,9
7199,Skyloom Global,Gordon,kaiserpermanente,5
7200,Oyster,Leslie,oystersoft,7
7201,Kato,Ray,ideabuilder,2
7202,Big Run Studios,Jean,flexiwork,5
7203,L&T,Louis,propellerlabs,6
7204,HCL,Margie,legalpassage,4
7205,Yarden,Lucinda,unagiscooters,3
7206,Shiru,Luke,xqmsg,4
7207,BriteHub,Davin,qwasar,2
7208,Marqeta,Ernest,everlaw,7
7209,Mphasis,Corine,cloudstead,1
7210,The institute of research and ethics in technology,Isaac,vibryant,6
7211,Cadency,Myrtis,swig,2
7212,Mainz Brady Group,Emmie,nana academy,0
7213,Trellis,Ray,www.lendup,5
7214,MetriTech,Clyde,candlecrm,0
7215,Divine Interventures,Josie,simpledynamics,6
7216,CISCO,Lassie,cintric,0
7217,Capology,Myrtis,tracedata,2
7218,The Hood Incubator,Rosie,bki,7
7219,SPARKART GROUP INC,RON,pogofin,6
7220,Kato,Linnie,www.gtwy,4
7221,The Hood Incubator,David,www.trellisgrows,3
7222,Rockbot,Alfred,launchdarkly,1
7223,Quosap,Emmitt,bigrunstudios,8
7224,lvl Analytics,Abbie,yunithome,9
7225,Hingeto,Liza,distru,2
7226,Neyborly,Edward,legalpassage,4
7227,Gazprom,Warhol,www.boxbot,1
7228,Tech Liminal,Goldie,tradelanes,9
7229,LAVA,Cleo,babylist,5
7230,Even,Moses,choosefluid,2
7231,TradeLanes,Ira,cadency,0
7232,DeepMedia AI,Era,sbnsoftware,1
7233,Mailchimp,Leslie,oystersoft,0
7234,Quosap,Josie,dailykos,6
7235,Flo AI,Barbara,sependa,5
7236,Microsoft,PAUL,guideapp,7
7237,Glancepoint,Lassie,saferize,1
7238,RateCred,Sarah,divineinterventures,5
7239,LINQ Software,Gordon,joinmosaic,8
7240,The Hood Incubator,Myrtle,www.lendup,1
7241,Proxifile,Lassie,koyamedical,5
7242,Unagi Scooters,Dinesh David,joro,4
7243,lloyds,Moses,joinbloommunity,2
7244,lloyds,Jim Andrson,www.askmediagroup,2
7245,Stealthy IM,Jeanette,IT Company,1
7246,Apple,Fannie,www.kaporcenter,9
7247,Phillips 66,Lillian,www.kaporcenter,2
7248,Kaiser Permanente,Jean,qwasar,6
7249,LendUp,Margie,enwoven,3
7250,Omicia,Myrtis,servant,7
7251,Huue,Emmett,xqmsg,3
7252,Rockbot,Liza,air-quest,5
7253,21Tech,Willie,envisionmobile,8
7254,Dotshop,Pearlie,sub4.me,7
7255,JCP,Era,bedrockanalytics,9
7256,Huue,Barbara,vertosa,2
7257,Nana,Dave,choosefluid,2
7258,Unchained Logistics,Matrina,kickstartcoding,7
7259,Stealthy IM,Ernest,skyloom,0
7260,Trace Data,Emmitt,enwoven,6
7261,Gateway Incubator,Tressie,mayvenn,6
7262,Simple But Needed Inc.,Anne,vibryant,4
7263,Skyloom Global,Leslie,appsmyth,1
7264,Flo AI,Jean,chargehound,5
7265,Zonetap,Rebecca,coreloop,8
7266,amazon,Alfred,zonetap,9
7267,Logistix Solutions,Cleo,even,1
7268,BriteHub,Green,deepmedia,9
7269,ExaVault,Roshan,viable.fit,0
7270,Propeller Labs,Davin,www.neyborly,3
7271,Flo AI,Roshan,FOUNDATION,8
7272,Field Phone,Julius,fivetran,2
7273,BriteHub,Myrtie,shiru,4
7274,Binti,Ellen,hingeto,2
7275,Comfy,Davin,ideabuilder,4
7276,Dotshop,Rachel,manifold,8
7277,Etracker,Dessie,getthru,6
7278,Walmart,Gerald,oystersoft,4
7279,WeDrop Software,Abbie,kato,3
7280,npm,Davin,gravitational,4
7281,Radical Designs,Alma,joinmosaic,4
7282,Oncue,Hollis,relasosales-crm,8
7283,Vidado,Marion,propellerlabs,8
7284,Powerhouse,Evelyn,montclairadvisors,9
7285,Capology,Warhol,bki,6
7286,Comcate,Emmie,enwoven,9
7287,Samsung,Thelma,everlaw,8
7288,Lucid,Sidney,manifold,8
7289,CandleCRM,Dinesh David,www.npmjs,4
7290,SUB4ME INC,Era,fabricgenomics,8
7291,Allganize,Rubie,skyloom,6
7292,WeDrop Software,Maud,chargehound,6
7293,NVIDIA,Ira,choosefluid,7
7294,TCS,Emmitt,lvlanalytics,7
7295,Oracle,Trudie,qwasar,5
7296,Chemistry,Margie,cadency,6
7297,LAVA,PETER,Technology,9
7298,iO Genesys Inc.,Edward,better,7
7299,Logistix Solutions,Vinnie,binti,7
7300,Hingeto,Leslie,bigrunstudios,5
7301,Kalabox,Ossie,moonshotbrands,5
7302,Axiom Cloud,King,locuslabs,2
7303,Illuminate Ventures,Goldie,FOUNDATION,5
7304,Postly,Iona,joro,1
7305,Broadly,Ossie,unagiscooters,1
7306,Mphasis,Robert,candlecrm,8
7307,Boxbot,Barbara,spinwheel,7
7308,Merus,Glennie,joinbloommunity,6
7309,Next Tech,Robert,glassbreakers,4
7310,Turnitin,Olanga,productboard,6
7311,Glassbreakers,Lucinda,cashbet,6
7312,Skilltapp Inc.,Sachin,propellerlabs,2
7313,Storyteller,Adolphus,tracedata,2
7314,SUB4ME INC,Iona,rockbot,1
7315,Google,Liza,wedrop,6
7316,WeDrop Software,Cleo,moonshotbrands,1
7317,Revitalize Venture Studio,Estella,yunithome,8
7318,Outlier,PETER,sub4.me,7
7319,Cloudstead,Iona,relasosales-crm,6
7320,BKI Software Solutions,Annie,getthru,9
7321,TargetX,Willie,roofstock,5
7322,NVIDIA,Edna,joinbloommunity,4
7323,Huue,Vinnie,axiomcloud,6
7324,Montclair Advisors LLC,Richard,efoundryconsulting,0
7325,Breezy,Richard,zorroa,6
7326,Zonetap,Moses,servant,8
7327,Skilltapp Inc.,Annie,www.npmjs,8
7328,swiss,Louis,tracedata,3
7329,Etracker,Nelson,rxredefined,2
7330,Skilltapp Inc.,Josie,qdev,6
7331,Flipcause,Bettie,bigrunstudios,0
7332,Zonetap,Thelma,www.neyborly,9
7333,Nana,Linnie,snapstrat,4
7334,TCS,Barbara,joinmosaic,0
7335,Afriex,Laura,afriexapp,0
7336,TargetX,Ralph,poweredbypennies,7
7337,RateCred,Leslie,Information Technology,7
7338,Beezwax,Porter,propellerlabs,1
7339,Allganize,Gordon,appsmyth,5
7340,Postly,Ellen,britehub,3
7341,Gazprom,Corine,koyamedical,8
7342,XQ Message,Vishwa,sependa,2
7343,Bedrock Analytics,Laura,qdev,4
7344,PANDORA MEDIA INC.,Davin,radicaldesigns,8
7345,Quosap,Rubie,mct,1
7346,Cintric,Katie,buildsite,1
7347,Mainz Brady Group,Richard,etrackerllc,8
7348,Bedrock Analytics,Wilson,logistixsolutions,8
7349,OPAL QUALITY SYSTEM MGMT.,Abbie,hingeto,9
7350,Everlaw,James,unagiscooters,2
7351,GE,Moses,metritech,2
7352,SPARKART GROUP INC,Gennie,linqsoftware,8
7353,Cloudstead,Dave,viable.fit,6
7354,yozio,Lillian,Technology,8
7355,Gazprom,Jim Andrson,axiomcloud,9
7356,The Hood Incubator,Moses,kato,0
7357,Gazprom,Ralph,hingeto,3
7358,Pyka,Rubie, IT HUB,5
7359,ENVision mobile,Edna,vibryant,5
7360,Mailchimp,Lucinda,parsleysoftware,0
7361,npm,Ray,coreloop,6
7362,Schoolzilla,Willie,mynd,9
7363,Teech Mahindra,Alfred,FOUNDATION,4
7364,SwingSearch,Pinkie,tooledesign,6
7365,Tech Liminal,Julius,radicaldesigns,6
7366,productboard,Ernest,candlecrm,8
7367,Rx Redefined,Nelson,enwoven,7
7368,Comcate,Luke,bodega,4
7369,DeepMedia AI,Elsie,ceresimaging,7
7370,Grasshopper Kiosks,King,turnitin,1
7371,Palo Colorado Software.,Marion,lvlanalytics,1
7372,Vidado,Pearlie,buildsite,5
7373,Big Run Studios,Tressie,www.lendup,1
7374,TradeLanes,Marion, IT HUB,7
7375,Oracle,Emmett,storytellerhq,8
7376,Shiru,Sarah,theshoppad,3
7377,Hewai,Ralph,thecloroxcompany,1
7378,BuildSite,Tommy,logistixsolutions,1
7379,Broadly,Thelma,sparkart,2
7380,Simple Dynamics,Richard,swingtalent,3
7381,Hayden AI,Lassie,wedrop,2
7382,Mainz Brady Group,Barbara,angelloop,1
7383,Gateway Incubator,Moses,flypyka,9
7384,Shiru,Rebecca,renewfinancial,4
7385,Even,Adolphus,relasosales-crm,7
7386,Saferize,Cleo,fcsi,9
7387,Toole Design Group,Mabel,storytellerhq,0
7388,Chargehound,Ira,customerlobby,9
7389,Illuminate Ventures,Matrina,kaiserpermanente,7
7390,RateCred,Ernest,mayvenn,5
7391,MMWD,Joe,cashbet,8
7392,Rx Redefined,Jimmy,xqmsg,9
7393,Merus,Harvey,air-quest,8
7394,SUB4ME INC,Simon,zonetap,6
7395,Comcate,Sidney,binti,7
7396,Enwoven,Iona,kbcstaffing,6
7397,KindWhale,Glennie,bki,9
7398,GE,Ossie,yarden.garden,3
7399,Mainz Brady Group,Lenora,productboard,6
7400,Pogo Financial,Willie,pogofin,6
7401,Unchained Logistics,Porter,qdev,4
7402,Everlaw,Abbie,flo-ai,1
7403,amazon,Pearlie,www.lendup,9
7404,Manifold,Tommy,kickstartcoding,7
7405,Comfy,Corine,nana academy,2
7406,Omicia,Jean,marqeta,8
7407,Mastek,Jeanette,fabricgenomics,1
7408,ExaVault,Corine,tooledesign,5
7409,Hewai,Gerald,powerhouse.fund,7
7410,lvl Analytics,Josie,joinbloommunity,5
7411,Customer Lobby,Nellie,gravitational,1
7412,Saferize,Ernest,distru,1
7413,Huue,Sarah,customerlobby,8
7414,Vertosa,Mabel,www.boxbot,9
7415,LocusLabs Inc,Jim Andrson,enwoven,1
7416,Gateway Incubator,Margie,kindwhale,6
7417,NOKIA,Jimmy,IT Company,1
7418,Ask Media Group,Clyde,sependa,8
7419,Moonshot Brands,Elsie,exavault,9
7420,Powered by Pennies,Rubie,IT Challange,4
7421,JCP,Lucinda,opalqsm,3
7422,Pyka,Adolphus,ideabuilder,4
7423,BuildSite,Jim Andrson,squadcast.fm,2
7424,Divine Interventures,Mamie,polysign,7
7425,Palo Colorado Software.,Tommy,marqeta,7
7426,productboard,Olanga,vivun,0
7427,Glassbreakers,Dave,bedrockanalytics,6
7428,Afriex,Anne,yarden.garden,8
7429,Postly,Julius,quosap,4
7430,Apple,Anne,glancepoint,8
7431,TCS,Liza,spinwheel,0
7432,UHG,Tressie,Technology,2
7433,The Hood Incubator,Nelson,litterati,5
7434,Oncue,Gerald,tracedata,9
7435,Kaiser Permanente,Ossie,fabricgenomics,4
7436,Sun Microsystem,James,productboard,0
7437,Grasshopper Kiosks,Laura,schoolzilla,7
7438,Schoolzilla,Gennie,babylist,6
7439,Mynd,Dave,better,6
7440,Manhattan,Ralph,kaiserpermanente,9
7441,tEQuitable,Vishwa,hayden,7
7442,NVIDIA,Sarah,guideapp,3
7443,Customer Lobby,Nelson,productboard,3
7444,Frontleaf,Louis,IT Challange,7
7445,Bedrock Analytics,Davin,mct,8
7446,LendUp,Adolphus,IT Company,2
7447,Kalabox,Emmitt,efoundryconsulting,4
7448,Divine Interventures,King,crescendoapp,6
7449,Bedrock Analytics,Matrina,grasshopperkiosks,4
7450,Simple Dynamics,Moses,better,6
7451,Binti,Margie,www.neyborly,6
7452,Marqeta,Robert,servant,8
7453,Oracle,Cleo,givemomentum,4
7454,Radical Designs,Dinesh David,stealthy,9
7455,LendUp,Emmitt,babylist,1
7456,Abstract,Rubie,better,5
7457,Kickstart Coding,Leslie,dialed.space/works,4
7458,LaunchDarkly,Hanary,flypyka,2
7459,Google,King,comfyapp,7
7460,Broadly,Lenora,21tech,8
7461,Angeloop Inc,Harvey,www.kaporcenter,7
7462,Skillprint,Robert,ratecred,6
7463,Rx Redefined,Robert,unagiscooters,5
7464,Dotshop,Estella,swig,2
7465,Oracle,Myrtie,pineparkhealth,3
7466,Storyteller,King,binti,8
7467,Design Action Collective,James,tinctoriumbio,6
7468,Unionforce,Gennie,glancepoint,7
7469,99designs,Liza,turnitin,1
7470,Ask Media Group,Iona,fivetran,6
7471,Qwasar Silicon valley,Pearlie,oystersoft,6
7472,Moonshot Brands,Pinkie,choosefluid,9
7473,Storyteller,Dinesh David,glassbreakers,3
7474,Skilltapp Inc.,Ira,mbg,6
7475,Customer Lobby,Emmie,postly,1
7476,Mainz Brady Group,PETER,www.boxbot,4
7477,SUB4ME INC,Harvey,propellerlabs,3
7478,Divine Interventures,Warhol,Technology,5
7479,Moonshot Brands,Rebecca,mct,5
7480,Yarden,Pinkie,abstractcre,1
7481,FotoNotes,Jeanette,legalpassage,9
7482,CandleCRM,Alma,theshoppad,6
7483,Babylist,Mabel,flypyka,0
7484,Illuminate Ventures,Lassie,www.beezwax,4
7485,Revitalize Venture Studio,Cleo,mmwd,1
7486,Even,Edward,everlaw,6
7487,Shared Process Ecosystems,Liza,sparkart,2
7488,SUB4ME INC,James,air-quest,0
7489,tEQuitable,Goldie,kbcstaffing,5
7490,Wipro,Trudie,viable.fit,3
7491,Zorroa,Dennis,cadency,2
7492,Trellis,Dave,chargehound,3
7493,Powerhouse,David,deferpanic,3
7494,Guide,Hettie,schoolzilla,0
7495,Chargehound,Green,ideabuilder,3
7496,WeDrop Software,KELLY,palocolorado,6
7497,Cloudstead,Nellie,guideapp,7
7498,Spinwheel,Jean,nana academy,0
7499,Beezwax,Corine,flypyka,6
7500,SUB4ME INC,Sarah,guideapp,3
7501,Glassbreakers,Pinkie,divineinterventures,4
7502,Gravitational,Trudie,unionforce,5
7503,TargetX,Rosie,divineinterventures,4
7504,Quosap,Tommy,swingtalent,6
7505,Kickstart Coding,Isaac,radicaldesigns,0
7506,Breezy,Dessie,yozio,8
7507,Trace Data,Richard,postly,3
7508,Quosap,Pearlie,ideabuilder,1
7509,LaunchDarkly,Corine,designaction,2
7510,TradeLanes,David,99designs,6
7511,Daily Kos,Harvey,breezy,8
7512,LocusLabs Inc,Emmett,ideabuilder,9
7513,Vi Bryant,Vishwa,fieldphone,8
7514,CashBet,Simon,oncue,4
7515,Frontleaf,Roshan,choosefluid,7
7516,Shiru,Ellen,proxifile,7
7517,RateCred,Leslie,specosystems,9
7518,Next Tech,Rebecca,nearbyhq,4
7519,CandleCRM,Lenora,kalabox.kalamuna,9
7520,Boxbot,Jimmy,vsco,8
7521,Angeloop Inc,David,glancepoint,7
7522,Stealthy IM,Alma,joinmosaic,4
7523,Moonshot Brands,Liza,palocolorado,8
7524,Teech Mahindra,Lorraine,getthru,5
7525,Allganize,Dessie,shiru,6
7526,Teech Mahindra,Gennie,swingtalent,9
7527,CandleCRM,Hanary,tinctoriumbio,3
7528,Servant,Emmitt,mmwd,1
7529,VSCO,Sidney,helloresolve,6
7530,Cloudstead,Pearlie,linqsoftware,2
7531,Unionforce,Isaac,schoolzilla,8
7532,MMWD,Mamie,Information Technology,9
7533,MMWD,Joe,turnitin,5
7534,Moonshot Brands,Joe,customerlobby,4
7535,LAVA,Myrtle,relasosales-crm,9
7536,Luna Information Systems,Leslie,appsmyth,8
7537,SquadCast.fm,Wilson,mayvenn,5
7538,KBC Staffing,Myrtle,outlier,3
7539,Broadly,PAUL,deferpanic,0
7540,The Hood Incubator,Ernest,tequitable,7
7541,Distru,Porter,marqeta,8
7542,Huue,Emmett,cadency,4
7543,Schoolzilla,Rebecca,logistixsolutions,5
7544,Sependa,Myrtle,skillprint,3
7545,XQ Message,Lassie,www.gtwy,8
7546,Saferize,Ellen,thecloroxcompany,4
7547,Mayvenn,Liza,afriexapp,7
7548,KindWhale,Dovie,unionforce,3
7549,BuildSite,Robert,productboard,4
7550,AerialSpaces,Simon,liferaft,7
7551,LAVA,Josie,postly,9
7552,Customer Lobby,Abbie,parsleysoftware,3
7553,WeDrop Software,Myrtle,trychemistry,4
7554,GetThru,Era,parsleysoftware,4
7555,Powered by Pennies,Julius,roofstock,0
7556,Phillips 66,Thelma,hayden,3
7557,Fivetran,Annie,cloudstead,1
7558,Yunit,Matrina,vibryant,6
7559,Revitalize Venture Studio,Ray,better,2
7560,Big Run Studios,William,cashbet,6
7561,Chargehound,Louis,hingeto,7
7562,SwingSearch,Leslie,fabricgenomics,0
7563,VSCO,Joe,www.beezwax,3
7564,Sependa,Aline,metritech,1
7565,Moonshot Brands,Marion,99designs,7
7566,LINQ Software,Nelson,guideapp,4
7567,Dotshop,Ralph,sparkart,2
7568,The Hood Incubator,Isaac,legalpassage,1
7569,Etracker,Myrtie,glancepoint,9
7570,Breezy,Gennie,ratecred,4
7571,Gazprom,Pearlie,roofstock,8
7572,Koya Medical,Josie,hingeto,9
7573,Viable Fit,Roshan,www.gtwy,2
7574,Big Run Studios,Alfred,breezy,6
7575,OPAL QUALITY SYSTEM MGMT.,Dessie,glancepoint,7
7576,Oracle,King,propellerlabs,4
7577,Parsley Software,Josie,vsco,7
7578,Babylist,Alfred,angelloop,5
7579,KindWhale,Anne,relasosales-crm,9
7580,MMWD,Jim Andrson,helloresolve,3
7581,BuildSite,Mabel,air-quest,0
7582,XQ Message,Estella,crescendoapp,8
7583,Teech Mahindra,Nellie,metritech,4
7584,NanoVMs Inc,Bettie,spinwheel,0
7585,Fluid,Cleo,flo-ai,3
7586,lvl Analytics,Hanary,relasosales-crm,7
7587,Sependa,Corine,babylist,1
7588,Mastek,Myrtie,givemomentum,9
7589,Etracker,Harvey,lunaimaging,2
7590,Daily Kos,Maud,pogofin,7
7591,CrescendoApp.com,KELLY,www.neyborly,7
7592,SnapStrat Inc.,Edward,www.gtwy,8
7593,Idea Builder,Lassie,launchdarkly,7
7594,Yarden,PAUL,buildsite,9
7595,Phillips 66,Dave,yunithome,6
7596,Chemistry,Porter,www.kaporcenter,9
7597,Manifold,Edna,vidado,3
7598,Zorroa,Tommy,rxredefined,8
7599,Cloudstead,Willie,21tech,8
7600,Unchained Logistics,Ossie,kalabox.kalamuna,4
7601,UHG,Julius,tradelanes,4
7602,SPARKART GROUP INC,Abbie,thecloroxcompany,0
7603,Manhattan,Luke,xqmsg,0
7604,Huue,Jeanette,oncue,6
7605,Viable Fit,Estella,glassbreakers,3
7606,Schoolzilla,Olanga,aerialspac.es,3
7607,EFoundry Consulting,William,breezy,1
7608,Flo AI,Rebecca,binti,5
7609,Distru,Warhol,radicaldesigns,6
7610,FotoNotes,William,lvlanalytics,6
7611,Powered by Pennies,Rubie,qwasar,8
7612,Logistix Solutions,David,polysign,5
7613,PolySign,PAUL,parsleysoftware,4
7614,BuildSite,Anne,fabricgenomics,8
7615,NOKIA,Lorraine,www.boxbot,3
7616,Ceres Imaging,Glennie,specosystems,0
7617,NOKIA,Josie,palocolorado,7
7618,Viable Fit,Anne,breezy,5
7619,Afriex,Alfred,broadly,8
7620,Cintric,Clarence,babylist,0
7621,Luna Information Systems,Robert,joro,8
7622,Vi Bryant,Vinnie,skillprint,0
7623,Mailchimp,Dessie,koyamedical,2
7624,SquadCast.fm,King,comfyapp,6
7625,Shiru,Emmie,mynd,3
7626,Glancepoint,Emmett,21tech,3
7627,KindWhale,Annie,productboard,6
7628,iO Genesys Inc.,Simon,schoolzilla,6
7629,Omicia,James,choosefluid,7
